date,matchup,pick,tier,signals,p_model,pick_prob,won,run_diff,winner,home_R,away_R
2026-04-27,TB @ CLE,CLE,GOLD,F3_swing_take_gap=1061.4,0.5286,0.0,False,1,TB,2,3
2026-04-27,STL @ PIT,PIT,GOLD,F3_swing_take_gap=267.1,0.5785,0.0,False,2,STL,2,4
2026-04-27,BOS @ TOR,TOR,GOLD,F3_swing_take_gap=536.9,0.6152,0.0,False,5,BOS,0,5
2026-04-27,SEA @ MIN,MIN,SKIP,,0.6191,0.0,True,7,MIN,11,4
2026-04-27,NYY @ TEX,NYY,GOLD,F2_xwoba_gap=0.024,0.7277,0.0,True,2,NYY,2,4
2026-04-27,CHC @ SD,CHC,SKIP,,0.6154,0.0,False,2,SD,9,7
2026-04-27,MIA @ LAD,LAD,PLATINUM,"F2_xwoba_gap=0.032, F3_swing_take_gap=6044.8",0.5743,0.0,True,1,LAD,5,4
2026-04-28,TB @ CLE,TB,GOLD,F3_swing_take_gap=1070.2,0.6045,0.0,True,1,TB,0,1
2026-04-28,HOU @ BAL,HOU,SKIP,,0.6912,0.0,False,2,BAL,5,3
2026-04-28,SF @ PHI,PHI,GOLD,F3_swing_take_gap=944.5,0.5783,0.0,True,7,PHI,7,0
2026-04-28,BOS @ TOR,TOR,SKIP,,0.7401,0.0,True,3,TOR,3,0
2026-04-28,WSH @ NYM,WSH,SKIP,,0.7593,0.0,False,8,NYM,8,0
2026-04-28,DET @ ATL,ATL,SKIP,,0.6928,0.0,True,3,ATL,5,2
2026-04-28,SEA @ MIN,MIN,SKIP,,0.6891,0.0,False,6,SEA,1,7
2026-04-28,ARI @ MIL,MIL,SKIP,,0.8088,0.0,True,11,MIL,13,2
2026-04-28,NYY @ TEX,NYY,GOLD,F2_xwoba_gap=0.024,0.7091,0.0,True,1,NYY,2,3
2026-04-28,CHC @ SD,SD,SKIP,,0.5229,0.0,False,5,CHC,3,8
